龙岗支行,长江东路2号  [地图],长江批发市场对面,对公：随市政府行政上班时间调整对私：冬季：8:00-17:30  夏季：8:00-18:00,0551-67672008
涂山支行,涂山路661号  [地图],火柴厂东侧,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-4081744
望淮塔支行,吴湾路570号  [地图],一千零一夜东面,周一至周日对私：8:00-17:30,0552-4082078
淮光支行,中山街75号  [地图],蚂虾街东头,周一至周日对私：8:00-17:30,0552-2066255
陶店支行,蚌埠市燕山路1035号  [地图],123医院北面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-4125519
龙湖支行,大学城龙湖春天3区7、8号  [地图],蚌埠医学院南面,周一至周日对私：8:00-17:30,0552-3119949
朝阳支行,朝阳路377号  [地图],世纪联华对面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-4026711
高新支行,东海大道567号  [地图],三实小西面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-4073499
鸿运分理处,解放一路117号  [地图],水建医院北面,周一至周日对私：8:00-17:30,0552-3054934
营业部,淮河路1029号  [地图],新世纪对面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-2075642
西城支行,蚌埠市涂山路191号  [地图],第一人民医院东面,周一至周日对私：8:00-17:30,0552-4018973
五河建行,五河县城关镇中兴路20号  [地图],二中对面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-5028755
铁路支行,胜利东路1599号  [地图],珠园东面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-2048147
胜纬支行,蚌埠市前进路238号朝阳嘉园11号楼3区5、6号  [地图],前进路小学西侧,周一至周日对私：8:00-17:30,0552-4034746
胜利支行,蚌埠市工农路508号  [地图],沁雅花园西北角,周一至周日对私：8:00-17:30,0552-3940185
建龙支行,工农路246号  [地图],太平街对面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-2062220
建安所,兴业街410-412号  [地图],二实小对面,周一至周日对私：8:00-17:30,0552-2048977
淮滨储蓄所,宏业路109号  [地图],华运超市对面,周一至周日对私：8:00-17:30,0552-3120270
怀远三所,怀远县禹王路东段进山路东  [地图],交通局旁边,周一至周日对私：8:00-17:30,0552-8011803
怀远支行,怀远禹王路180号  [地图],县幼儿园对面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-8015146
广场支行,华夏第一街区B1号楼1208-1211号  [地图],淮河文化广场南面,周一至周日对私：8:00-17:30,0552-2048967
二钢支行,凤阳东路313号  [地图],橡胶厂东面,周一至周日对私：8:00-17:30,0552-3010656
东风支行,凤阳东路450号  [地图],长途汽车站北面,周一至周五对公：8:00-12:00 15:00-17:00对私：8:00-17:30周六日对私：8:00-17:30,0552-3013247
凤阳路分理处,蚌埠市凤阳西路88号  [地图],市第二人民医院东面,周一至周日对私：8:00-17:30,0552-2070208
淮南市裕安储蓄所,淮南市田家庵区舜耕西路104#  [地图],裕安小区南门，蓝宝大酒店斜对面。,对私：周一至周日8:00-18:30，无对公业务,0554-6886555
淮南市金家岭储蓄所,淮南市田家庵区泉山路45#  [地图],金家岭加油站对面。,对私：周一至周日8:00-18:30，无对公业务,0554-6802320
淮南市交通储蓄所,淮南市田家庵区龙湖北路1-1#  [地图],人行天桥北，淮师附小斜对面。,对私：周一至周日8:00-18:30，无对公业务,0554-3649493
淮南市洞山西路储蓄所,淮南市田家庵区洞山西路40#  [地图],老龙眼公交汽车站。,对私：周一至周日8:00-18:30，无对公业务,0554-6642322
淮南市三水厂储蓄所,淮南市田家庵区园南路  [地图],市档案馆对面。,对私：周一至周日8:00-18:30，无对公业务,0554-6312767
淮南市淮谢储蓄所,淮南市谢家集区蔡新路中段  [地图],长江商贸城和凯胜重工机械有限公司。,对私：周一至周日8:00-18:30，无对公业务,0554-5710895
淮南市前锋二村储蓄所,淮南市田家庵区朝阳东路158#  [地图],前锋二村住宅区南门。,对私：周一至周日8:00-18:30，无对公业务,0554-2684330
